customer_id,months_subscribed,monthly_fee,total_spend,plan_type,payment_method,paperless_billing,is_senior,has_partner,has_dependents,addon_services,logins_30d,features_used,open_tickets_30d,days_since_last_interaction,usage_change_pct,snapshot_date,churn_30d
9661-JALZV,58,24.7,1519.0,biennial,Credit card (automatic),1,0,0,0,0,10,4,1,3,4.8,2024-01-01,0
4114-QMKVN,56,68.75,3815.4,annual,Bank transfer (automatic),0,0,1,1,3,15,5,1,9,15.0,2024-01-01,0
2969-QWUBZ,2,51.4,96.8,monthly,Electronic check,0,0,0,0,3,20,2,0,19,-4.8,2024-01-01,0
1986-PHGZF,18,58.4,964.9,monthly,Credit card (automatic),1,1,0,0,2,9,3,0,8,13.9,2024-01-01,0
9554-DFKIC,30,54.45,1588.7,monthly,Bank transfer (automatic),1,0,1,1,1,19,8,0,4,15.5,2024-01-01,0
7663-YJHSN,72,103.95,7556.9,biennial,Bank transfer (automatic),1,0,1,0,5,21,3,1,0,-5.0,2024-01-01,0
6685-XSHHU,60,20.95,1270.55,biennial,Bank transfer (automatic),1,0,1,1,0,8,7,1,3,-23.2,2024-01-01,0
2642-MAWLJ,36,20.25,717.95,biennial,Bank transfer (automatic),0,0,1,1,0,0,5,0,15,23.9,2024-01-01,0
5443-SCMKX,58,94.3,5610.15,annual,Electronic check,1,0,1,0,3,21,6,1,25,1.8,2024-01-01,0
8687-BAFGU,1,74.0,74.0,monthly,Electronic check,0,0,0,0,1,14,6,1,8,-38.3,2024-01-01,0
1579-KLYDT,7,90.45,593.45,monthly,Electronic check,1,0,0,0,2,23,0,4,26,-55.2,2024-01-01,1
9348-ROUAI,59,90.3,5194.05,biennial,Credit card (automatic),0,0,1,1,6,17,6,0,11,-26.5,2024-01-01,0
7617-EYGLW,1,19.45,19.45,monthly,Electronic check,0,0,0,0,0,10,2,0,0,-6.5,2024-01-01,0
7251-LJBQN,40,103.75,4188.4,annual,Credit card (automatic),1,1,0,0,4,15,5,0,0,6.6,2024-01-01,0
5855-EIBDE,49,106.65,5174.35,biennial,Credit card (automatic),0,0,1,0,5,22,5,0,10,-13.3,2024-01-01,0
0282-NVSJS,12,29.3,355.9,monthly,Mailed check,1,1,1,1,1,10,3,4,35,-31.1,2024-01-01,0
8217-QYOHV,5,55.75,266.95,monthly,Mailed check,1,0,0,0,2,7,3,2,3,18.8,2024-01-02,0
3847-BAERP,10,20.9,247.0,monthly,Mailed check,1,0,0,0,0,29,4,2,9,42.4,2024-01-02,0
3750-YHRYO,7,20.65,150.0,annual,Mailed check,0,0,1,1,0,10,5,0,20,2.3,2024-01-02,0
6023-GSSXW,69,61.45,4131.2,biennial,Credit card (automatic),1,0,1,0,2,17,7,0,15,-4.7,2024-01-02,0
4993-JCRGJ,26,84.3,2281.6,monthly,Mailed check,1,0,0,0,2,26,1,3,35,9.7,2024-01-02,0
0373-AIVNJ,9,39.55,373.0,annual,Mailed check,0,0,0,0,3,16,6,1,16,31.2,2024-01-02,0
3508-VLHCZ,71,90.55,6239.05,biennial,Credit card (automatic),1,0,1,1,6,18,10,1,14,-12.8,2024-01-02,0
5046-NUHWD,29,45.0,1228.65,monthly,Electronic check,1,1,1,0,3,15,6,1,16,9.6,2024-01-02,0
1867-TJHTS,58,79.8,4526.85,monthly,Bank transfer (automatic),1,0,0,0,1,27,5,0,11,31.0,2024-01-02,0
8347-GDTMP,64,19.45,1225.65,biennial,Credit card (automatic),0,0,1,0,0,21,3,0,0,-29.6,2024-01-02,0
0581-MDMPW,24,88.95,2072.75,monthly,Credit card (automatic),1,0,0,0,2,15,7,2,16,16.3,2024-01-02,0
9637-CDTKZ,72,114.1,8086.4,biennial,Credit card (automatic),1,0,1,0,6,24,5,1,6,-7.6,2024-01-02,0
3378-AJRAO,44,24.85,1013.6,annual,Electronic check,0,0,1,1,0,14,5,0,16,-12.1,2024-01-02,0
5712-VBOXD,4,20.15,68.45,monthly,Credit card (automatic),1,0,0,0,0,4,5,1,19,-17.8,2024-01-02,0
0899-WZRSD,56,105.35,5794.45,monthly,Mailed check,1,0,0,0,4,19,4,1,0,-1.9,2024-01-02,0
2898-LSJGD,21,55.95,1157.05,annual,Electronic check,1,0,1,1,4,14,3,1,28,-40.3,2024-01-02,1
2933-XEUJM,46,79.2,3593.8,biennial,Mailed check,0,0,0,0,4,9,4,1,9,-26.1,2024-01-02,0
5014-WUQMG,47,96.1,4391.45,annual,Electronic check,1,0,1,1,4,18,7,0,6,30.4,2024-01-02,0
6427-FEFIG,24,78.6,1846.65,biennial,Credit card (automatic),0,0,1,1,4,24,6,3,0,7.2,2024-01-02,0
8097-VBQTZ,54,69.9,3883.3,monthly,Mailed check,1,0,0,0,4,25,8,0,5,-0.3,2024-01-02,0
1231-YNDEK,58,19.15,1035.5,biennial,Bank transfer (automatic),1,0,0,0,0,19,0,1,18,-14.3,2024-01-03,0
9650-VBUOG,38,25.05,963.95,biennial,Credit card (automatic),0,0,1,1,0,10,6,0,0,-13.1,2024-01-03,0
3748-FVMZZ,4,40.05,162.45,monthly,Electronic check,1,0,0,0,2,12,8,0,9,-12.4,2024-01-03,0
2903-YYTBW,1,44.55,44.55,monthly,Electronic check,0,0,1,1,0,17,4,0,8,-10.0,2024-01-03,0
5274-XHAKY,41,94.3,3893.6,monthly,Bank transfer (automatic),1,0,1,1,3,6,10,0,11,-3.1,2024-01-03,0
4657-FWVFY,40,96.35,3915.4,monthly,Credit card (automatic),1,0,1,1,3,20,9,0,8,11.8,2024-01-03,0
8249-THVEC,51,19.4,997.75,annual,Mailed check,0,0,1,1,0,21,2,1,39,13.1,2024-01-03,0
0327-WFZSY,39,100.0,3835.55,annual,Electronic check,0,0,1,1,3,18,2,1,16,10.9,2024-01-03,0
0196-VULGZ,6,84.35,474.9,monthly,Electronic check,1,1,1,0,1,1,8,0,11,-22.4,2024-01-03,1
0221-WMXNQ,4,75.35,273.4,monthly,Electronic check,0,1,0,0,1,12,6,0,7,-10.0,2024-01-03,0
9359-JANWS,65,58.9,3857.1,biennial,Credit card (automatic),0,0,1,0,3,7,4,2,5,32.7,2024-01-03,0
7998-WNZEM,71,80.6,5708.2,biennial,Bank transfer (automatic),0,0,0,0,5,15,1,0,28,-20.9,2024-01-03,0
2636-SJDOU,64,84.3,5289.05,annual,Credit card (automatic),1,0,0,0,2,28,4,4,21,1.7,2024-01-03,0
5419-JKZNQ,30,77.9,2351.45,monthly,Mailed check,0,1,1,0,0,19,6,1,4,13.8,2024-01-03,0
8778-LMWTJ,9,74.85,708.2,monthly,Electronic check,1,0,0,0,1,7,5,0,9,48.7,2024-01-04,0
3589-PPVKW,9,44.4,348.15,monthly,Mailed check,1,0,0,0,0,5,10,0,8,5.8,2024-01-04,0
0661-KQHNK,6,19.0,105.5,annual,Credit card (automatic),0,0,1,1,0,7,6,1,3,30.4,2024-01-04,0
3209-ZPKFI,47,54.25,2538.2,monthly,Electronic check,0,0,1,1,1,22,2,1,22,-10.9,2024-01-04,0
6284-KMNUF,56,98.0,5270.6,annual,Electronic check,1,0,1,0,3,16,1,1,45,35.3,2024-01-04,0
0594-UFTUL,13,19.85,252.0,monthly,Mailed check,1,0,1,1,0,18,8,0,0,21.9,2024-01-04,0
7072-MBHEV,11,78.1,864.85,monthly,Credit card (automatic),1,1,1,1,1,21,8,0,0,2.2,2024-01-04,0
5248-RPYWW,72,90.15,6716.45,biennial,Bank transfer (automatic),1,1,1,1,6,23,5,0,12,-10.1,2024-01-04,0
3466-WAESX,16,69.1,1083.7,monthly,Electronic check,1,0,0,1,3,19,2,0,2,-49.1,2024-01-04,0
2483-XSSMZ,39,47.85,1886.4,annual,Electronic check,1,0,0,0,1,12,7,0,7,-9.1,2024-01-04,0
4869-EPIUS,56,80.9,4557.5,annual,Electronic check,1,0,1,0,1,21,9,0,5,7.3,2024-01-05,0
3318-NMQXL,3,92.0,266.8,monthly,Electronic check,1,0,0,0,2,13,9,0,4,-19.9,2024-01-05,0
8008-OTEZX,35,19.65,708.8,annual,Mailed check,0,0,1,1,0,15,7,1,4,30.3,2024-01-05,0
0409-WTMPL,58,110.65,6526.65,annual,Credit card (automatic),1,0,1,0,5,22,1,0,9,-0.3,2024-01-05,0
4128-ETESU,47,99.7,4747.2,monthly,Electronic check,0,1,1,0,3,16,3,1,13,17.2,2024-01-05,0
4132-KALRO,4,100.85,399.25,monthly,Mailed check,1,0,0,0,3,11,8,0,1,5.0,2024-01-05,0
9537-VHDTA,1,51.2,51.2,monthly,Mailed check,0,0,0,1,1,19,9,0,13,19.7,2024-01-05,0
0020-JDNXP,34,61.25,1993.2,annual,Mailed check,0,0,1,1,5,12,7,0,0,-12.2,2024-01-05,0
5829-NVSQN,23,68.75,1689.45,annual,Bank transfer (automatic),1,0,1,0,4,18,8,1,6,15.1,2024-01-05,0
7921-LMDFQ,51,94.0,4905.75,annual,Bank transfer (automatic),1,1,0,0,3,15,7,0,5,17.9,2024-01-05,0
6368-NWMCE,38,68.15,2656.3,monthly,Credit card (automatic),0,0,0,0,3,7,4,0,9,-23.0,2024-01-05,0
0257-ZESQC,27,75.2,1929.35,monthly,Bank transfer (automatic),1,1,1,0,1,9,6,0,9,-20.1,2024-01-05,1
5656-JAMLX,62,19.85,1253.65,biennial,Bank transfer (automatic),0,0,0,0,0,0,7,1,10,-10.5,2024-01-05,0
5709-LVOEQ,0,80.85,0.0,biennial,Mailed check,0,0,1,1,5,2,8,0,0,-47.0,2024-01-05,0
8659-IOOPU,71,100.45,7159.7,biennial,Electronic check,0,0,1,1,4,23,4,2,18,-1.3,2024-01-05,0
9585-KKMFD,41,20.0,879.8,biennial,Mailed check,1,0,1,1,0,13,10,1,8,-22.7,2024-01-05,0
4597-ELFTS,56,24.9,1334.0,annual,Electronic check,0,0,0,0,0,0,3,2,2,-30.3,2024-01-05,1
0536-BGFMZ,28,20.5,563.05,monthly,Mailed check,0,0,1,0,0,9,9,0,30,-8.0,2024-01-06,0
9142-XMYJH,29,19.35,601.6,monthly,Credit card (automatic),0,0,0,0,0,26,6,1,9,-21.0,2024-01-06,0
9972-VAFJJ,53,94.0,4871.45,annual,Electronic check,1,1,1,0,4,19,7,1,8,-8.6,2024-01-06,0
6047-SUHPR,39,59.8,2343.85,annual,Electronic check,0,0,1,1,3,5,6,0,8,6.1,2024-01-06,0
0121-SNYRK,50,35.4,1748.9,annual,Mailed check,1,0,0,0,2,18,6,0,3,17.5,2024-01-06,0
4378-BZYFP,17,20.5,365.8,annual,Mailed check,1,0,0,0,0,18,10,1,12,-20.1,2024-01-06,0
7994-XIRTR,54,65.25,3529.95,annual,Bank transfer (automatic),0,1,0,0,3,15,5,0,7,9.4,2024-01-06,0
2314-TNDJQ,72,55.65,3880.05,biennial,Credit card (automatic),0,0,1,1,5,18,7,0,20,-12.9,2024-01-06,0
0924-BJCRC,60,89.45,5294.6,monthly,Electronic check,0,1,1,0,2,5,6,0,0,-5.9,2024-01-06,0
6341-JVQGF,31,81.15,2545.75,annual,Mailed check,1,0,1,1,5,21,5,0,12,-11.5,2024-01-06,0
5141-ZUVBH,9,93.0,870.25,monthly,Bank transfer (automatic),0,0,0,1,4,4,3,0,2,-20.5,2024-01-06,0
8711-LOBKY,59,19.85,1188.25,biennial,Mailed check,0,0,1,1,0,23,6,0,1,-12.6,2024-01-06,0
8234-GSZYK,43,26.45,1110.05,biennial,Bank transfer (automatic),0,0,0,0,0,9,5,0,18,24.5,2024-01-07,0
2361-UPSND,46,70.6,3231.05,annual,Mailed check,0,0,1,0,4,16,5,0,20,2.7,2024-01-07,0
5895-QSXOD,9,70.05,657.5,monthly,Mailed check,0,0,0,0,0,2,7,0,3,19.4,2024-01-07,0
5092-STPKP,24,56.35,1381.2,monthly,Credit card (automatic),0,0,0,0,2,8,7,1,3,5.5,2024-01-07,0
1193-RTSLK,38,83.9,3233.6,monthly,Credit card (automatic),1,0,0,0,3,7,0,0,12,3.4,2024-01-07,1
2806-MLNTI,52,105.1,5376.4,annual,Bank transfer (automatic),1,1,1,0,4,12,7,0,1,-32.4,2024-01-07,0
4423-JWZJN,64,90.25,5629.15,annual,Credit card (automatic),0,0,1,1,2,24,7,0,13,25.2,2024-01-07,0
1768-HNVGJ,45,70.05,3062.45,monthly,Electronic check,1,1,0,0,3,12,2,0,18,19.7,2024-01-07,0
4194-WHFCB,59,96.65,5580.8,monthly,Bank transfer (automatic),1,0,1,1,3,10,7,2,8,23.4,2024-01-07,0
5898-IGSLP,31,89.3,2823.0,monthly,Electronic check,0,0,1,1,3,17,8,1,0,-12.0,2024-01-07,0
5996-EBTKM,67,69.9,4615.9,biennial,Bank transfer (automatic),1,0,1,1,3,35,6,0,1,3.5,2024-01-07,0
7108-DGVUU,21,71.7,1497.05,annual,Bank transfer (automatic),0,1,1,0,3,6,0,0,13,2.8,2024-01-07,0
2452-MRMZF,72,25.7,1937.4,biennial,Credit card (automatic),1,1,1,0,0,12,5,0,0,-17.3,2024-01-07,0
9450-TRJUU,35,83.15,2848.45,monthly,Electronic check,0,0,0,0,1,9,5,1,8,-5.4,2024-01-08,0
