customer_id,snapshot_date,plan_type,months_subscribed,monthly_fee,churn_probability,risk_tier,suggested_action
9185-TQCVP,2024-11-17,monthly,14,85.15,0.913,high,Personal outreach from a success manager + retention offer
8035-PWSEV,2024-11-18,monthly,6,89.25,0.9096,high,Personal outreach from a success manager + retention offer
6894-LFHLY,2024-11-30,monthly,1,75.75,0.883,high,Personal outreach from a success manager + retention offer
6683-VLCTZ,2024-12-10,monthly,20,98.55,0.8324,high,Personal outreach from a success manager + retention offer
8111-RKSPX,2024-12-09,monthly,4,72.2,0.8317,high,Personal outreach from a success manager + retention offer
2962-XPMCQ,2024-11-06,monthly,2,45.15,0.8158,high,Personal outreach from a success manager + retention offer
5442-BHQNG,2024-12-07,monthly,2,70.35,0.808,high,Personal outreach from a success manager + retention offer
5429-LWCMV,2024-11-25,monthly,12,89.15,0.8021,high,Personal outreach from a success manager + retention offer
9221-OTIVJ,2024-11-17,monthly,14,104.85,0.7971,high,Personal outreach from a success manager + retention offer
7912-SYRQT,2024-11-28,monthly,7,75.1,0.7614,high,Personal outreach from a success manager + retention offer
0811-GSDTP,2024-11-06,monthly,13,30.15,0.7553,high,Personal outreach from a success manager + retention offer
1143-NMNQJ,2024-12-17,monthly,2,85.7,0.7505,high,Personal outreach from a success manager + retention offer
9492-TOKRI,2024-11-14,monthly,18,90.0,0.7429,high,Personal outreach from a success manager + retention offer
5136-RGMZO,2024-12-19,monthly,31,71.05,0.7401,high,Personal outreach from a success manager + retention offer
7137-RYLPP,2024-12-05,monthly,37,85.7,0.7289,high,Personal outreach from a success manager + retention offer
9840-EFJQB,2024-12-26,monthly,1,74.35,0.6983,high,Personal outreach from a success manager + retention offer
3090-LETTY,2024-12-15,monthly,2,60.95,0.6828,high,Personal outreach from a success manager + retention offer
4482-FTFFX,2024-12-27,monthly,5,56.15,0.6779,high,Personal outreach from a success manager + retention offer
4854-CIDCF,2024-12-08,monthly,3,73.85,0.6766,high,Personal outreach from a success manager + retention offer
9714-EDSUC,2024-12-19,monthly,4,94.9,0.6745,high,Personal outreach from a success manager + retention offer
